reviewer-img href,reviewer-img src,reviewer-info href,reviewer-name,icon-cmn-fav-010,reviewer-info,reviewer-info (2),reviewer-info href (2),reviewer-info (3),reviewer-info (4),reviewer-rating,repeat,mobile-date,read,read href,read (2),read href (2),read (3),read href (3),read (4),read href (4),read (5),read href (5),read (6),read href (6),read (7),read href (7),read (8),read href (8),read (9),read href (9),read (10),read href (10),read (11),read href (11),read (12),cmn-viewmore href,thum href,thum src,thum href (2),thum src (2),thum href (3),thum src (3),item-status (2),variation-list-item href,variation-list-item,variation-list-item src,variation-list-item href (2),variation-list-item (2),variation-list-item src (2),variation-list-item href (3),variation-list-item (3),variation-list-item src (3),variation-list-item href (4),variation-list-item (4),variation-list-item src (4),variation-list-item href (5),variation-list-item (5),variation-list-item src (5),clearfix (2),clearfix (4),clearfix (6),kuchikomi-on href,act-counter,icon-cmn-fav-500,ico-cmn-auth,clearfix href,clearfix href (2),clearfix href (3),clearfix href (4),clearfix (7),clearfix href (5),clearfix (8),clearfix href (6),clearfix (9),icon-cmn-fav-100,clearfix href (7),clearfix (10),clearfix href (8),clearfix (11),clearfix href (9),clearfix (12),read href (12),read (13),read href (13),read (14),icon-cmn-fav-025,date,icon-cmn-fav-050,clearfix href (10),clearfix href (11),clearfix (14),clearfix href (12),clearfix (15),clearfix href (13),clearfix (16),clearfix (17),icon-cmn-fav-005
https://my.cosme.net/open_top/show/user_id/7514020,https://cache-cdn.cosme.net/images/user/characters/30/mychara09_xs.gif,https://my.cosme.net/open_top/show/user_id/7514020,koyokaa,10人以上のメンバーにお気に入り登録されています,39歳,脂性肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/7514020,クチコミ投稿40件,40,6購入品リピート,リピート,2025/4/18 19:10:41,"4月19日発売 リップモンスター ツヤバース新色
早いところは15日に入荷してました。

くり出したら戻らないタイプのスティック。
柔らかいテクスチャーで塗ったあとはツヤツヤ、潤ってくれるので大好きです！

GO4 スパイダーリリー調香師(ベージュレッド系)
かなり好みの色でした！リプモン05 ダークフィグ好きな方は好みのお色だと思います。

GO5 ピンクロビンの泉(ローズピンク系)
結構なローズで紫みを感じます。
スウォッチで伝わるか分かりませんが、GO5は発色が少し弱めだと思います。なので唇にのせるとそこまで紫は強くでないかなと思いました。

すぐにティッシュオフしてしまうと全部ティッシュについてしまうので、数分置いてからのティッシュオフがおすすめです。
ティッシュオフしても色は結構残るし、コップなどにもそこまでつかない印象です。

通年唇の状態が良くない私ですが、ツヤバースはかなりしっとりします！リップモンスターは荒れてしまうという方におすすめしたいです。

色の残り方はリップモンスターには負けてしまいますが、飲食してもわりと色が残って、何よりも唇が荒れない点でかなり好感触です！

ツヤバース全色のスウォッチと、リップモンスター既存色(web限定含む)の似ている色とのスウォッチを撮りました。
全色2-3度塗り、薄い色は数分後ティッシュオフとなります。
光の加減で色が違って見えていてすみません！
ツヤバース全色のスウォッチが一番近い色味となります。
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/reviews/514231268/,https://www.cosme.net/reviews/514231268/photo-1/,https://cache-cdn.cosme.net/media/collection/1834/1956/11204251_l.jpg,https://www.cosme.net/reviews/514231268/photo-2/,https://cache-cdn.cosme.net/media/collection/1834/1956/11212619_l.jpg,https://www.cosme.net/reviews/514231268/photo-3/,https://cache-cdn.cosme.net/media/collection/1834/1956/11212620_l.jpg,現品,https://www.cosme.net/variations/1201785/,G04　スパイダー リリー調香師,https://fitter.cosme.net/media/product/10260/skuimg_1024220.jpg,https://www.cosme.net/variations/1201786/,G05　ピンク ロビンの泉,https://fitter.cosme.net/media/product/10260/skuimg_1024222.jpg,https://www.cosme.net/variations/1185728/,G01 明後日の水たまり,https://fitter.cosme.net/media/product/10260/skuimg_1001938.jpg,https://www.cosme.net/variations/1185729/,G02 ピンクムーンの雫,https://fitter.cosme.net/media/product/10260/skuimg_1001941.jpg,https://www.cosme.net/variations/1185730/,G03 99.9℃,https://fitter.cosme.net/media/product/10260/skuimg_1001944.jpg,-,-,-,https://www.cosme.net/contact/report-review/review_id/514231268,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/4825389,https://cache-cdn.cosme.net/media/collection/1178/301/7760586_xs.jpeg,https://my.cosme.net/open_top/show/user_id/4825389,●ちゃわんむし●,,40歳,混合肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/4825389,クチコミ投稿769件,769,5購入品リピート,リピート,2025/8/23 15:11:42,"【EX-2悪魔の快楽】かなり購入を迷ったカラーです。
青みレッドはドンピシャなんですが、色々なサイトでは黄みがあるように見えるんですもん…
店頭のポップは青みに見えたため購入を決めました。
まずこちらは容易に単発使いできる濃さです。
リップブラシ必須。
ポンポンんまーッの誤魔化しが効かないと思います。
唇に載せますと、色味はやはり黄みはあるものの、G01よりは青みと思われます。
また、同じような色味のリプモンの06 2:00AM程茶は感じないけど、107紅折り紙の願いよりは黄色かなあ？？と感じました。
DIOR999よりは青みを感じるかも…
光の加減では黄色くも青くも見える不思議な色で、店頭のポップ程青みが出なかったのが少ーしだけ残念ですが、今までのツヤバースはご近所リップの域を出なかったので、単独でお出かけカラーになるこちらは購入して正解でした。
2ndにイエローがあるブルベさんに向くのではと思います。
（自分は2nd春です。）
発売日にキヨシで購入しました。

【G05ピンクロビンの泉】ブルベに振り切ったカラーなので購入しました。
しかし単発で使うには薄くて、唇に乗せるとピンクの色付きリップクリームの域を出ません。
このためご近所用、若しくはリプモン12誓いのルビーとのW使いで活躍しています。
リプモンも時間経つと唇が重なる部分が乾燥するのでね…
この組み合わせブルベ冬青み吸収族さんにオススメです。
12だけだと夏要素も感じるところを直球の冬に持って来れると思います。
107紅折り紙の願いも青みカラーですが、こちらと重ねると若々し過ぎちゃう感じがありました。
色は好みなのにぼんやりとした発色だったことからぼんやりと口コミも書かないままになっていました。
＠cosmeshoppingで予約購入しました。

ー以前の口コミー
【G01明後日の水たまり】ブルベ冬の青み吸収族です。
通常のリプモンで唇が重なる部分がカサカサしてしまうことがあったのと、こちらツヤバースはブルベ冬でも使えそうなカラーがあるので楽しみにしていました。

繰り出したら戻せないタイプのグロスのような質感です。
流石にその質感故か発色も薄めで、飲食すれば落ちます。
ただ、縦ジワはカバーされるし、普通のグロスより色は残るので好印象。
また乾燥や皮剥けはないです。

一聞ではブルベ向きかどうか分からないレッド系を選んだのは、一聞ブルベ向きっぽいピンク系のG02にかなりの黄みを感じたためです。
店頭や公式サイトの唇画像の色見本を見るとよく分かると思います。
G01は唇の周りがブルベ肌に、G02は唇の周りがイエベ肌に見えるのです。
且つG02は唇のトーンとあまり変わらないから冬タイプには向かなそうと感じた為です。
でも店頭ではG02の方が人気のようでした。

カッチリメイクや秋冬の季節感を意識してもう少し発色が欲しい点に関しては、通常のリプモン06，12辺りをティッシュオフしてこちらを重ねたら解決です！
通常のリプモンがカサつくお悩みも解決。
もちろんこちら1本でもメイクしてます感は出るのですが。

その質感から減りが早そうではありますが、通常のリプモンのカサつき悩みまで解消してくれたので言う事無し。
発色の薄っすいカラーリップクリームを買うよりこちらを購入して正解でした。
店頭で品切れなく気軽に買えるようならリピートしたいです。

キヨシで購入しました。
ドンキにはまだ入荷がなかったです。
詳細をみる",https://www.cosme.net/tags/tag/7500/,リップブラシ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/1031/,リップクリーム,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/913/,グロス,https://www.cosme.net/categories/item/913/,グロス,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/item/1031/,リップクリーム,,,,,,,https://www.cosme.net/reviews/514238232/,https://www.cosme.net/reviews/514238232/photo-1/,https://cache-cdn.cosme.net/media/collection/1178/301/10767877_l.jpg,https://www.cosme.net/reviews/514238232/photo-2/,https://cache-cdn.cosme.net/media/collection/1178/301/11501812_l.jpg,,,現品,https://www.cosme.net/variations/1218654/,EX-2 悪魔の快楽,https://fitter.cosme.net/media/product/10260/skuimg_1056321.jpg,https://www.cosme.net/variations/1201786/,G05　ピンク ロビンの泉,https://fitter.cosme.net/media/product/10260/skuimg_1024222.jpg,https://www.cosme.net/variations/1185728/,G01 明後日の水たまり,https://fitter.cosme.net/media/product/10260/skuimg_1001938.jpg,,,,,,,,,,https://www.cosme.net/contact/report-review/review_id/514238232,55,500人以上のメンバーにお気に入り登録されています,認証済,https://www.cosme.net/categories/pchannel/2/,https://www.cosme.net/categories/effect/1002/,https://www.cosme.net/categories/effect/1018/,https://www.cosme.net/tags/tag/94116/,ブルベ冬,https://www.cosme.net/tags/tag/89071/,縦ジワカバー,https://www.cosme.net/tags/tag/20566/,W使い,,,,,,,,,,,,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/5244700,https://cache-cdn.cosme.net/media/collection/1280/1820/10241507_xs.jpeg,https://my.cosme.net/open_top/show/user_id/5244700,みるみるく618,,40歳,混合肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/5244700,クチコミ投稿160件,160,6購入品,,2024/10/26 10:40:16,"────────────
ケイト リップモンスター
ツヤバース

G03　99.9°C

\1,650

────────────

こんにちは
出遅れたけどツヤバース買ったので
本音レビュー

私は買ってよかった◎
ツヤと色持ちが程よくあって
黄みよりだけど ブルベでも浮かない
オランジェット
（オレンジピールにチョコがかかったお菓子）
みたいなブラウン

カネボウのバズリップ
ルージュスターヴァイブラントと質感似てる
人気カラーV07に似てそうと思ったんだけど
ツヤバース99.9℃のほうが黄色が強め

色は似てないけどちゅるんとして
ブルベでも浮かずに使いやすかった*:.｡.
チェックやブラウンの服にあわせたい

#新作コスメ #ケイトリップモンスター #ツヤバース #G03 #購入品 #ツヤリップ
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,,,,,,,,,,,https://www.cosme.net/reviews/514271494/,https://www.cosme.net/reviews/514271494/photo-1/,https://cache-cdn.cosme.net/media/collection/1280/1820/10788379_l.jpg,https://www.cosme.net/reviews/514271494/photo-2/,https://cache-cdn.cosme.net/media/collection/1280/1820/10788380_l.jpg,https://www.cosme.net/reviews/514271494/photo-3/,https://cache-cdn.cosme.net/media/collection/1280/1820/10793446_l.jpg,現品,,,,,,,,,,,,,,,,,,,https://www.cosme.net/contact/report-review/review_id/514271494,42,,認証済,https://www.cosme.net/categories/pchannel/6/,https://www.cosme.net/categories/effect/1002/,https://www.cosme.net/categories/effect/1018/,https://www.cosme.net/categories/effect/1020/,通販化粧品・コスメ,https://www.cosme.net/categories/effect/1021/,うるおい,https://www.cosme.net/categories/effect/1086/,ツヤ,100人以上のメンバーにお気に入り登録されています,https://www.cosme.net/tags/tag/619229/,ツヤバース,https://www.cosme.net/tags/tag/9974/,色持ち,https://www.cosme.net/tags/tag/5279/,荒れない,,,,,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/7749308,https://cache-cdn.cosme.net/media/collection/1891/3772/10962130_xs.jpeg,https://my.cosme.net/open_top/show/user_id/7749308,★cheeky★,,50歳,乾燥肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/7749308,クチコミ投稿144件,144,6購入品リピート,リピート,2025/4/29 13:14:50,"新色2色買ったので追加レビュー。
オリジナルの似てそうな色と比較してみました。

画像上から
・オリジナル17 ローズ園
・ツヤバース05 ピンクロビン
・オリジナル15 綿雲
・ツヤバース04 調香師

ツヤバースの既存3色は色の相性的にイマイチだったので新色に期待してたけど、ドンピシャ系の色味は今回も出ず…

大好きなローズ園に近いピンクロビンは、もう少し青め＆暗め発色。ブルベでも夏より冬の方がより似合いそう。
調香師も綿雲よりもう少し暗めで秋寄り。黄味や赤味が強すぎるわけではなくミューテッド寄りなので使える人の範囲は広そう。オフィスでも使いやすいかも。

ツヤ好きには嬉しい質感と、リプモンの中では乾燥しづらく細身で塗りやすいスティックなので、ツヤバース自体は好きなんだけど、前回も感じた通りこの質感で淡めの発色出すのは難易度高いのかもですね。ティッシュオフである程度色の濃淡調整はできるけど、せっかくのツヤも落ちちゃうのが悩ましいところw

色出しだけはオリジナルの方が好きなのは変わらずだけど、今後も新色出たら試しちゃうかな。

******************************
みんな大好き、リプモンのツヤ特化！
肌も唇もツヤ命、というかツヤに飢えてる私としては、リプモンからのツヤシリーズは期待しかないので
迷わず購入。

…というと語弊があるかな、3色展開でドンピシャ欲しい色味がなかったので、そこは迷いました…結果的に02を購入。

うるツヤとろーり質感や保湿力を求めると、どうしたってマットやリキッドに比べて色もちは悪くなるし、それをカバーしようとすると濃いめの色出しになっちゃうんだろうな…飲み会リップでお馴染みのBBIAとかどれも色濃いしほぼ液体の薄膜だもんね。

バームやフォンデュなどもちぷる系のリップは、保湿力も高くて刺激も少ないし、透明感もありつつ厚膜のツヤ感が出るところが好きなので、ティントやオリジナルほど色モチしなくても総合バランス考えたら私は全然許容範囲。韓コス系でこーゆー質感の繰り出し戻らないタイプは既に沢山出てるけど、細くて塗りやすいし細身のパケは嵩張らないしで、私は特に不便には感じないです。

ただ、個人的に唇に濃いめの色塗るのが似合わない＆今出てる3色だと相性イマイチな顔なので、今後の色展開に熱く期待！

ラスボスだと赤味強過ぎなんだけど01はそれに近そうだし、砂海やパンプキンは黄味が強くて顔色悪くなるので03も危険かな…間取って02にしたんだけど、普段ピンクバナナがギリって感じでそれより若干黄味寄り(綿雲の方が近いか？)なので、塗れなくはないけど下地や他のポイントメイクや服を合わせて調整してる感じ…
3:00やローズ園系の新色が出たら満点！！
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/1154/,ティッシュ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/reviews/514558478/,https://www.cosme.net/reviews/514558478/photo-1/,https://cache-cdn.cosme.net/media/collection/1891/3772/11239812_l.jpg,,,,,現品,https://www.cosme.net/variations/1201785/,G04　スパイダー リリー調香師,https://fitter.cosme.net/media/product/10260/skuimg_1024220.jpg,https://www.cosme.net/variations/1201786/,G05　ピンク ロビンの泉,https://fitter.cosme.net/media/product/10260/skuimg_1024222.jpg,https://www.cosme.net/variations/1185729/,G02 ピンクムーンの雫,https://fitter.cosme.net/media/product/10260/skuimg_1001941.jpg,,,,,,,-,-,,https://www.cosme.net/contact/report-review/review_id/514558478,39,,認証済,https://www.cosme.net/categories/effect/1002/,https://www.cosme.net/categories/effect/1018/,https://www.cosme.net/categories/effect/1030/,https://www.cosme.net/categories/effect/1064/,うるおい,https://www.cosme.net/categories/effect/1020/,ツヤ,https://www.cosme.net/categories/effect/1021/,肌の透明感・薄づき,100人以上のメンバーにお気に入り登録されています,https://www.cosme.net/categories/effect/1086/,立体感,,持ちがよい・落ちにくい,,発色がよい,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1017/,マット,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/2550395,https://cache-cdn.cosme.net/media/collection/622/2683/11184446_xs.jpeg,https://my.cosme.net/open_top/show/user_id/2550395,MayGoodMe,,48歳,混合肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/2550395,クチコミ投稿303件,303,4購入品,,2025/8/4 21:18:12,"ツヤバースの中で一番イエベ向きの色だと思います。
スルスルと塗りやすく、発色も良くて、仕上がりはグロスっぽいツヤ感がでます。
元々の唇の色が濃いので、見本のような色にはなりませんが、それでもいい色だなと思いました。
時間経過や食事後は、ツヤは消えて色だけが残る感じになるので、塗り直しは必要です。
色が気に入っているので使い続けていますが、自分の場合、塗って2時間くらい経つと必ず唇が荒れます。
ベースにモアリップなどの薬用リップを仕込んでも、皮剥けしてしまいます。
なのでリピ買いはないですが、唇が荒れにくい人には価格もお手頃で使い勝手がいいので、おすすめだと思います。
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/913/,グロス,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,,,,,,,,,,,,,,,https://www.cosme.net/reviews/515559798/,https://www.cosme.net/reviews/515559798/photo-1/,https://cache-cdn.cosme.net/media/collection/622/2683/11456639_l.jpg,,,,,現品,https://www.cosme.net/variations/1185730/,G03 99.9℃,https://fitter.cosme.net/media/product/10260/skuimg_1001944.jpg,,,,,,,,,,,,,-,,,https://www.cosme.net/contact/report-review/review_id/515559798,32,,認証済,https://www.cosme.net/categories/effect/1002/,https://www.cosme.net/categories/effect/1018/,https://www.cosme.net/categories/effect/1028/,https://www.cosme.net/categories/effect/1021/,うるおい,https://www.cosme.net/tags/tag/535622/,ツヤ,https://www.cosme.net/tags/tag/7225/,フィット感,100人以上のメンバーにお気に入り登録されています,https://www.cosme.net/tags/tag/9467/,発色がよい,,リプモン,,イエベ秋,,,,,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/131058,https://cache-cdn.cosme.net/media/collection/31/4082/11755321_xs.jpeg,https://my.cosme.net/open_top/show/user_id/131058,foxyriri,,47歳,敏感肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/131058,クチコミ投稿201件,201,6購入品,,2025/4/16 8:41:43,"●G04 スパイダーリリー調香師
初ツヤバースです。
既存3色は好みのカラーじゃなかったのでスルーでしたが、G04は気になる存在で。
マツキヨで一足早く購入しました。

リプモンシリーズ全般に言える事ですが、テスターがないので、ちょっと強気な販売戦略だよね？と売り方に疑問を抱いてましたが、ある意味福袋を開ける時のワクワク感みたいな感じもあり、プチプラだしまあいいかという気持ちでget。


前置きが長くなりました。

スパイダーリリー、すごく好みの色味でしたー◎
ブラウン味を帯びた明彩度低めのベージュピンクでツヤツヤ感がめちゃ可愛い。
シックな色合いで唇を主張し過ぎない良い塩梅のピンク。
僅かながら赤味もあり、低彩度ながら顔色が悪く見えない。
大人のピンクブラウン（ベージュ）って感じです。
どんなアイメイクにも合いそうな落ち着いたカラーでした。

ポッピングシルエットシャドウのグレージュポップなんかに合わせたらめちゃイイ女っぽくなりそう！

そんな訳で一本あると便利そうな優秀リップでした◎

画像差し替えました笑
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/tags/tag/5077/,プチプラ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,,,,,,,,,,,,,,,https://www.cosme.net/reviews/515061955/,https://www.cosme.net/reviews/515061955/photo-1/,https://cache-cdn.cosme.net/media/collection/31/4082/11205841_l.jpg,https://www.cosme.net/reviews/515061955/photo-2/,https://cache-cdn.cosme.net/media/collection/31/4082/11205842_l.jpg,,,現品,https://www.cosme.net/variations/1201785/,G04　スパイダー リリー調香師,https://fitter.cosme.net/media/product/10260/skuimg_1024220.jpg,,,,,,,,,,,,,-,-,,https://www.cosme.net/contact/report-review/review_id/515061955,27,,認証済,https://www.cosme.net/categories/pchannel/2/,,,,スーパー・ドラッグ,,,,,100人以上のメンバーにお気に入り登録されています,,,,,,,,,,,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/8936027,https://cache-cdn.cosme.net/media/collection/2181/2651/9416978_xs.jpeg,https://my.cosme.net/open_top/show/user_id/8936027,若ハゲ侵攻中,,32歳,普通肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/8936027,クチコミ投稿30件,30,3購入品,,2024/12/24 9:50:20,"明後日のみずたまりを購入。
1st ブルベ冬　2ndイエベ春です。

リップモンスター（以降本家）のラスボスで良いという感想です。
写真は上が明後日の水たまり
下がラスボスです。
※室内の蛍光灯下で撮影。無加工。

・色が似ている。
・本家よりも色もちが良くない。
・塗り直しの回数増えた。
・本家は3.0g こちらは1.6gで、コスパが微妙。
・一度繰り出すと戻せないので残量の確認が出来ない。
以上の理由です。

本家で乾燥が気になったことがない、もっとツヤが欲しいと感じたこともないので、私は★3の評価で落ち着きました。
本家よりも保湿やツヤが欲しい方ならハマると思います。

このシリーズで新色が出ても多分購入しないです。
せめて本家と同じ位の量が入っていれば。。
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,,,,,,,,,,,,,,,,,,,https://www.cosme.net/reviews/514535513/,https://www.cosme.net/reviews/514535513/photo-1/,https://cache-cdn.cosme.net/media/collection/2181/2651/10914713_l.jpg,,,,,現品,https://www.cosme.net/variations/1185728/,G01 明後日の水たまり,https://fitter.cosme.net/media/product/10260/skuimg_1001938.jpg,,,,,,,,,,,,,-,-,-,https://www.cosme.net/contact/report-review/review_id/514535513,27,,,,,,,,,,,,,,,,,,,,,,,25人以上のメンバーにお気に入り登録されています,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/6715981,https://cache-cdn.cosme.net/images/user/characters/30/mychara03_xs.gif,https://my.cosme.net/open_top/show/user_id/6715981,mai*27,,38歳,普通肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/6715981,クチコミ投稿190件,190,3購入品,,2024/10/21 17:06:10,"ちゅるんとした仕上がりが可愛いです。

往復塗りすれば色がしっかりでます。

G02はナチュラルなコーラルピンクでブルベでも似合いました。

飲食すると落ちて艶もなくなります。
塗り直しが必要です。

艶感は凄くいいのですが色持ちが良くないので、私は単品使いよりも普通のリップモンスターを先に塗ってからこちらをちょんちょんと唇全体に重ね付けするのが好みでした。

時間が経つと縦ジワが目立ちました。
こちらを使い始めてから唇が荒れ出しました。普通のリップモンスターでは荒れたことはないです。たまたま季節の変わり目で敏感になっていたのかもしれません。
詳細をみる",,,,,,,,,,,,,,,,,,,,,,,https://www.cosme.net/reviews/514251072/,https://www.cosme.net/reviews/514251072/photo-1/,https://cache-cdn.cosme.net/media/collection/1639/2637/10777125_l.jpg,,,,,現品,https://www.cosme.net/variations/1185729/,G02 ピンクムーンの雫,https://fitter.cosme.net/media/product/10260/skuimg_1001941.jpg,,,,,,,,,,,,,,,,https://www.cosme.net/contact/report-review/review_id/514251072,27,500人以上のメンバーにお気に入り登録されています,認証済,https://www.cosme.net/categories/pchannel/2/,https://www.cosme.net/categories/effect/1018/,https://www.cosme.net/categories/effect/1086/,https://www.cosme.net/tags/tag/5078/,スーパー・ドラッグ,,ツヤ,,コストパフォーマンス,,,スリム,,,,,,,,,,,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/2168438,https://pc.assets-cosme.net/images/user/characters/no_image/noimage_xs.gif,https://my.cosme.net/open_top/show/user_id/2168438,セッサミン,,43歳,乾燥肌,https://my.cosme.net/open_entry_reviewlist/list/user_id/2168438,クチコミ投稿47件,47,4購入品,,,"10月15日に何軒かDS巡りをし、ちょうど陳列中の所でG03 99.9°Cを購入しました。

ツヤバースというだけあってグロスみたいなツヤはさすがです。
テラコッタということで通常リプモン4パンプキンワインのような系統をイメージしていましたが、そんなにテラコッタは感じなく、私にはくすみピンクベージュのような発色でした。
リプモン11を淡く少し明るくつやつやにした感じの方がイメージが近い気がします。

1度塗りではシアーで、色味を感じるには重ね付けが必要です。
色残りに関しては断然通常リプモンの方が良かったです。
思ったより万人受けしそうなカラーで発色もシアーなので、ある程度ベージュ、ブラウン系のお色が好きならこの色を選んで失敗という事はあまりなさそうな気がします。
発色と色残りしっかりを望む方には物足りないかなと思いました。

内容量は1.6gしかなく(通常リプモンは3g)、シアー発色でツヤと色味を出そうとすれば結構な量使うので、あっという間に使い切りそうです。
気に入れば他の色も買おうと思っていましたが、急いで集めるほどでもないのかなというのが今のところの正直な感想です。
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/item/913/,グロス,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/tags/tag/5351/,くすみ,https://www.cosme.net/categories/effect/1018/,ツヤ,,,,,,,,,,,,,https://www.cosme.net/reviews/514234470/,https://www.cosme.net/reviews/514234470/photo-1/,https://cache-cdn.cosme.net/media/collection/529/1654/10766069_l.jpg,,,,,現品,https://www.cosme.net/variations/1185730/,G03 99.9℃,https://fitter.cosme.net/media/product/10260/skuimg_1001944.jpg,,,,,,,,,,,,,-,,,https://www.cosme.net/contact/report-review/review_id/514234470,24,,認証済,https://www.cosme.net/categories/pchannel/2/,https://www.cosme.net/categories/effect/1002/,https://www.cosme.net/categories/effect/1013/,https://www.cosme.net/categories/effect/1018/,スーパー・ドラッグ,,うるおい,,ナチュラルメイク,,,ツヤ,,,,,,,,,,2024/10/16 17:03:40,,,,,,,,,,
https://my.cosme.net/open_top/show/user_id/5071852,https://cache-cdn.cosme.net/media/collection/1238/1004/11014131_xs.jpeg,https://my.cosme.net/open_top/show/user_id/5071852,towako**,,40歳,アトピー,https://my.cosme.net/open_entry_reviewlist/list/user_id/5071852,クチコミ投稿36件,36,6購入品,,2025/2/3 13:11:09,"普段使いするツヤ系リップが欲しくて色々試すも、プチプラはほぼ荒れてしまう私の弱々ズル剥け唇。本家リップモンスターがまったく合わなかったのですが、リップクリーム以外のリップ塗りたいんじゃ！と、ほぼヤケクソで購入。

塗り心地はスルスルととてもなめらか。
でもどうせ荒れる…荒れるんだどうせさ…としばらくドキドキしながら過ごしましたが、日中変な違和感一切なぁし！つけ心地がすんごく良い！

色もかわいくて長持ちでツヤンツヤンで、購入して本当に良かったです（泣）色落ちするけど汚くなく、夜メイクを落とすまで色が残ってました。(ラーメンスープ飲み干した日はさすがに消えた…)
そして、こちらをつけた日は落としたあとも唇がふっくらしてるような気がします。気のせいかな？？

今のところプチプラナンバーワンリップです！
カラバリは増えて欲しいけど、今のままでもいいからお願い無くならないで！(´人`)
詳細をみる",https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/tags/tag/5077/,プチプラ,https://www.cosme.net/categories/item/1031/,リップクリーム,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/categories/effect/1018/,ツヤ,https://www.cosme.net/tags/tag/5077/,プチプラ,,,,,,,,,,,https://www.cosme.net/reviews/514729578/,https://www.cosme.net/reviews/514729578/photo-1/,https://cache-cdn.cosme.net/media/collection/1238/1004/11014368_l.jpg,,,,,現品,https://www.cosme.net/variations/1185730/,G03 99.9℃,https://fitter.cosme.net/media/product/10260/skuimg_1001944.jpg,,,,,,,,,,,,,-,-,-,https://www.cosme.net/contact/report-review/review_id/514729578,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
